standard,year,topic2,topic3,company_name,company_isin,req_type,comp_name,exists,value,material
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,total number of employees in the prior period by head count,False,,False
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,"disclosure of the own definition for top management, if the undertaking has already defined the concept and it differs from the definition of one and two levels below the administrative and supervisory bodies",False,,False
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,voluntary,"total number of full-time employees, breakdown by gender by FTE (male; female; other; not reported)",False,,True
esrs_v2,2023,own workforce metrics,training,Temenos,CH0012453913,voluntary,"average number of training hours per employee breakdown by function (such as technical, administrative, production)",True,Cloud: 40 hours; Services: 79 hours; Sales and Marketing: 6 hours; R&D: 107 hours; General Administration: 10 hours,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,"the total number of temporary employees, breakdown by gender by FTE (male; female; other; not reported)",False,,True
esrs_v2,2023,own workforce metrics,training,Temenos,CH0012453913,mandatory,average number of training hours per employee by gender,True,Female: 82 hours; Male: 71 hours,True
esrs_v2,2023,own workforce metrics,training,Temenos,CH0012453913,mandatory,percentage of employees that participated in regular performance and career development reviews,False,,True
esrs_v2,2023,own workforce metrics,work-life balance,Temenos,CH0012453913,mandatory,percentage of entitled employees that took family-related leave,False,,True
esrs_v2,2023,own workforce metrics,human rights,Temenos,CH0012453913,mandatory,"number of complaints filed to the National Contact Points for OECD Multinational Enterprises related to working conditions, equal treatment and opportunities for all and other work-related rights",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,voluntary,"total number of part-time employees, breakdown by region by FTE (Region A; Region B)",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,"the total number of temporary employees, breakdown by gender by head count (male; female; other; not reported)",True,Male: 121; Female: 29,True
esrs_v2,2023,own workforce metrics,health and safety,Temenos,CH0012453913,voluntary,"number of fatalities as a result of work-related ill health, where applicable broken down between employees and non-employees in the undertaking's own workforce",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,distribution of employees by age group under 30 years old in number,True,2364,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,mandatory,"any contextual information necessary to understand the ""renumeration"" data and how it has been compiled (methodology)",True,"SARs are valued on a fair value basis by an independent organization, Algofin AG, using the Enhanced American Model, a sophisticated binomial model, to comply with IFRS 2.",True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,mandatory,disclosure whether all its employees are covered by social protection against loss of income due to retirement through public or private programs,False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,total number of temporary employees by head count,True,150,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,disclosure whether the non-employee numbers are reported at the end of the reporting period; as an average across the reporting period; or using another methodology,True,"At the end of 2023, Temenos employed 6,773 people worldwide, including both full-time employees, business partners and contractors of Temenos.",True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,distribution of employees by age group 30-50 years old in number,True,3596,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,mandatory,annual total remuneration ratio of the highest paid individual to the median annual total remuneration for all employees (excluding the highest paid individual),False,,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,voluntary,"gender pay gap between employees by level (such as senior management, middle management) broken down by complementary components",False,,True
esrs_v2,2023,own workforce metrics,collective bargaining and social dialogue,Temenos,CH0012453913,mandatory,"global percentage of employees covered at the establishment level by workers’ representatives, reported at the country level for each EEA country in which the undertaking has significant employment by coverage rate (0-19%, 20-39%, 40-59%, 60-79%, 80-100%) and country",False,,True
esrs_v2,2023,own workforce metrics,health and safety,Temenos,CH0012453913,voluntary,"externally audited percentage of own workforce covered by a health and safety management system based on legal requirements, recognised standards or guidelines",False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,voluntary,"total number of temporary employees, breakdown by region by FTE (Region A; Region B)",False,,True
esrs_v2,2023,own workforce metrics,health and safety,Temenos,CH0012453913,mandatory,number of recordable work-related accidents,False,,True
esrs_v2,2023,own workforce metrics,training,Temenos,CH0012453913,voluntary,"percentage of employees that participated in regular performance and career development reviews, broken down by level (such as senior management, middle management)",False,,True
esrs_v2,2023,own workforce metrics,health and safety,Temenos,CH0012453913,voluntary,"number of days lost to work-related injuries and fatalities from work-related accidents, work-related ill health and fatalities from ill health with regard to the undertaking's non-employees",False,,True
esrs_v2,2023,own workforce metrics,collective bargaining and social dialogue,Temenos,CH0012453913,mandatory,"outside the European Economic Area (EEA): percentage of its own employees covered by collective bargaining agreements, by coverage rate (0-19%, 20-39%, 40-59%, 60-79%, 80-100%) and region",False,,True
esrs_v2,2023,own workforce metrics,training,Temenos,CH0012453913,voluntary,"average number of training hours per non-employee breakdown by function (such as technical, administrative, production)",False,,True
esrs_v2,2023,own workforce metrics,health and safety,Temenos,CH0012453913,voluntary,"number of fatalities as a result of work-related injuries with regard to others workers working on the undertaking's sites, such as value chain workers if they are working on the undertaking's sites",False,,True
esrs_v2,2023,own workforce metrics,compensation,Temenos,CH0012453913,voluntary,gender pay gap by segment,False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,voluntary,description of the most common types of non-employees,False,,True
esrs_v2,2023,own workforce metrics,human rights,Temenos,CH0012453913,mandatory,number of severe human rights incidents connected to the undertaking's workforce in the reporting period,False,,True
esrs_v2,2023,own workforce metrics,characteristics,Temenos,CH0012453913,mandatory,"total number of non-employees in the undertakings's own workforce, i.e. either people with contracts with the undertaking to supply labour (“self-employed people”) or people provided by undertakings primarily engaged in “employment activities” (NACE Code N78)",True,149,True
