Title,Authors,DOI,DOI link,Venue,Citation count,Year,Abstract summary
CSR reporting practices: an integrative model and analysis,"Wesley Friske, A. Nikolov, P. Hoang",10.1080/10696679.2019.1690397,https://doi.org/10.1080/10696679.2019.1690397,Journal of Marketing Theory and Practice,18,2019,"CSR reporting is driven by top management, stakeholder relationships, and firm characteristics, and can decrease corporate social irresponsibility."
Corporate social responsibility (CSR) reporting: a study of selected banking companies in Bangladesh,"H. Khan, A. Halabi, M. Samy",10.1108/17471110910977276,https://doi.org/10.1108/17471110910977276,-,213,2009,"Banks in Bangladesh provide limited voluntary CSR reporting, but users would like to see more disclosure."
Corporate Social Responsibility Reporting: The Last 40 Years and a Path to Sharing Future Insights,"J. Andrew, Max Baker",10.1111/abac.12181,https://doi.org/10.1111/abac.12181,Abacus. A Journal of Accounting and Business Studies,48,2020,"The paper reviews 40 years of research on corporate social responsibility (CSR) reporting, identifying three main streams - descriptive, instrumental, and normative."
Deinstitutionalization in the Netherlands and the effectiveness of act to maintain contact with the severe mentally ill,"S. Sytema, J.W. Bloemers, L. Wunderink, L. Roorda",10.1016/j.eurpsy.2007.01.090,https://doi.org/10.1016/j.eurpsy.2007.01.090,European psychiatry,0,2007,"The paper examines the content and prevalence of CSR reporting across different regions, but is not directly relevant to the query ""what is CSR reporting""."
CSR reporting communication: Defective reporting models or misapplication?,"Nicolas Garcia‐Torea, Belen Fernandez‐Feijoo, Marta de la Cuesta",10.1002/csr.1858,https://doi.org/10.1002/csr.1858,Corporate Social Responsibility and Environmental Management,46,2020,CSR reporting practices are limited by the reporting model (GRI guidelines) and how companies apply it.
Does corporate social responsibility reporting actually destroy firm reputation?,"María del Mar Miras-Rodríguez, Francisco Bravo-Urquiza, B. Escobar-Pérez",10.1002/csr.1938,https://doi.org/10.1002/csr.1938,Corporate Social Responsibility and Environmental Management,44,2020,"CSR reporting can negatively impact corporate reputation, especially when it is perceived as an impression management strategy rather than reflecting genuine CSR commitment."
CSR reporting: a review of research and agenda for future research,"M. Khan, A. Hassan, Christian Harrison, H. Tarbert",10.1108/mrr-02-2019-0073,https://doi.org/10.1108/mrr-02-2019-0073,-,45,2020,"This review examines the published literature on corporate social responsibility reporting, identifying limitations and providing recommendations for future research."
Do different industries report Corporate Social Responsibility differently? An investigation through the lens of stakeholder theory,"Lorraine Sweeney, J. Coughlan",10.1080/13527260701856657,https://doi.org/10.1080/13527260701856657,-,392,2008,Companies report CSR differently across industries based on stakeholder expectations.
Social Norms and Disclosure Policy: Implications from a Comparison of Financial and Corporate Social Responsibility Reporting,"C. Jeffrey, Jon D. Perkins",10.1080/0969160X.2012.748468,https://doi.org/10.1080/0969160X.2012.748468,-,13,2013,"CSR reporting should be mandatory, but the specific information content should be developed through a dialogical process involving a wide range of stakeholders."
CSR reporting and corporate performance: the role of strategic emphasis,"Ruba Hamed, Jan Smolarski, Wasim Al-Shattarat, Basiem Al-Shattarat",10.1108/sampj-04-2024-0348,https://doi.org/10.1108/sampj-04-2024-0348,"Sustainability Accounting, Management and Policy Journal",2,2024,"Mandatory CSR reporting has a beneficial impact on company performance, especially when the company's strategy emphasizes value appropriation over value creation."
