Title,Authors,DOI,DOI link,Venue,Citation count,Year,Abstract summary
ESG Maturity: A Software Framework for the Challenges of ESG Data in Investment,"Carolina Almeida Cruz, F. Matos",10.3390/su15032610,https://doi.org/10.3390/su15032610,Sustainability,25,2023,A software framework called ESG Maturity is proposed as a solution to overcome the challenges in ESG data reporting and investment.
An Exploratory Study of Software Sustainability at Early Stages of Software Development,"H. Noman, N. Mahoto, Sania Bhatti, H. Abosaq, Mana Saleh Al Reshan, A. Shaikh",10.3390/su14148596,https://doi.org/10.3390/su14148596,Sustainability,11,2022,"Software professionals lack understanding of incorporating sustainability into software development, despite recognizing its importance."
Three Anchoring Managerial Mechanisms to Embed Sustainability in Service Organizations,"Carlos Martín-Ríos, Cédric Poretti, G. Derchi",10.3390/su14010265,https://doi.org/10.3390/su14010265,Sustainability,12,2021,"The paper discusses three managerial mechanisms to embed sustainability in service organizations: transparency, accountability, and innovation."
Social sustainability tensions in multi-tier supply chain: A systematic literature review towards conceptual framework development,"K. Govindan, Mahesh Shaw, A. Majumdar",10.1016/j.jclepro.2020.123075,https://doi.org/10.1016/j.jclepro.2020.123075,Journal of Cleaner Production,272,2021,"This paper reviews the literature on social sustainability in multi-tier supply chains, identifying drivers, issues, barriers, tensions, practices, and performance, but does not specifically address software services."
Drivers of corporate voluntary disclosure: a systematic review,"Izdihar Abdullah Zamil, S. Ramakrishnan, N. M. Jamal, Majeed Abdulhussein Hatif, S. F. Khatib",10.1108/jfra-04-2021-0110,https://doi.org/10.1108/jfra-04-2021-0110,Journal of Financial Reporting & Accounting,96,2021,"This paper reviews the literature on determinants of voluntary corporate disclosure, but does not specifically address social sustainability reporting in software services."
Organisational and professional challenges amid the evolution of sustainability reporting: a theoretical framework and an agenda for future research,"A. Lai, R. Stacchezzini",10.1108/MEDAR-02-2021-1199,https://doi.org/10.1108/MEDAR-02-2021-1199,-,57,2021,The paper discusses the organizational and professional challenges associated with the evolution of sustainability reporting.
Artificial intelligence technology readiness for social sustainability and business ethics: Evidence from MSMEs in developing nations,"A. Kulkarni, Shaji Joseph, K. Patil",10.1016/j.jjimei.2024.100250,https://doi.org/10.1016/j.jjimei.2024.100250,Int. J. Inf. Manag. Data Insights,16,2024,AI readiness directly impacts social sustainability and business ethics in MSMEs in developing nations.
Investigation of the challenges of implementing social sustainability initiatives: a case study of the apparel industry,"S. Akbar, K. Ahsan",10.1108/srj-09-2019-0291,https://doi.org/10.1108/srj-09-2019-0291,-,19,2020,"The paper identifies key challenges faced by apparel supplier organizations in implementing social sustainability initiatives, including resource management, cost, and cultural/regulatory issues."
A framework of sustainability drivers and externalities for industry 4.0 technologies using the Best-Worst Method,"Jamal El Baz, S. Tiwari, Temidayo O. Akenroye, A. Cherrafi, Ridha Derrouiche",10.1016/j.jclepro.2022.130909,https://doi.org/10.1016/j.jclepro.2022.130909,Journal of Cleaner Production,65,2022,The paper proposes a framework for assessing the readiness of organizations to adopt sustainability-oriented Industry 4.0 initiatives.
"A Study on Sustainability and ESG in the Service Sector in India: Benefits, Challenges, and Future Implications","Leonidas Efthymiou, Ambika Kulshrestha, S. Kulshrestha",10.3390/admsci13070165,https://doi.org/10.3390/admsci13070165,Administrative Sciences,23,2023,The paper examines the challenges and drivers of sustainability and ESG reporting in the Indian service sector.
Autonomous and Sustainable Service Economies: Data-Driven Optimization of Design and Operations through Discovery of Multi-Perspective Parameters,"Nala Alahmari, Rashid Mehmood, Ahmed Alzahrani, Tan Yigitcanlar, J. Corchado",10.3390/su152216003,https://doi.org/10.3390/su152216003,Sustainability,9,2023,"This paper develops an AI-based methodology to identify key parameters for creating smarter, more sustainable services and economies."
Evaluating sustainable drivers for social responsibility in the context of ready-made garments supply chain,"Anil Kumar, Abdul Moktadir, Zahidur Rhaman Liman, A. Gunasekaran, Klaus Hegemann, S. Khan",10.1016/j.jclepro.2019.119231,https://doi.org/10.1016/j.jclepro.2019.119231,-,67,2020,"The paper evaluates the key drivers for implementing social responsibility practices in the ready-made garments supply chain in Bangladesh, with finance being the primary driver."
Nonfinancial reporting regulation and challenges in sustainability disclosure and corporate governance practices,"Selena Aureli, Mara Del Baldo, Rosa Lombardi, F. Nappo",10.1002/bse.2509,https://doi.org/10.1002/bse.2509,-,147,2020,"The shift from voluntary to mandatory nonfinancial reporting regulations influences corporate practices and governance, with internal audit playing a pivotal role."
"Sustainability Reporting through Environmental, Social, and Governance: A Bibliometric Review","Mathew Kevin Bosi, Nelson Lajuni, Avnner Chardles Wellfren, T. Lim",10.3390/su141912071,https://doi.org/10.3390/su141912071,Sustainability,49,2022,"This paper provides a bibliometric review of the research trends in environmental, social, and governance (ESG) and sustainability reporting."
The Challenge of Sustainable Development Goal Reporting: The First Evidence from Italian Listed Companies,"M. Izzo, M. Ciaburri, R. Tiscini",10.3390/su12083494,https://doi.org/10.3390/su12083494,Sustainability,119,2020,"The paper examines the extent of voluntary disclosure of Sustainable Development Goals (SDGs) among Italian listed companies, finding high awareness but gaps in implementation."
The Rise of the Social Business in Emerging Economies: A New Paradigm of Development,"Shahriar Akter, Nabila Jamal, Mahfuz Ashraf, G. McCarthy, P. Varsha",10.1080/19420676.2019.1640772,https://doi.org/10.1080/19420676.2019.1640772,Journal of Social Entrepreneurship,34,2020,This paper is not directly relevant to the query about social sustainability reporting readiness in software services. It discusses the drivers and success factors for social business models in emerging economies.
Sustainability accounting and reporting in the industry 4.0,"Kamlesh Tiwari, Mohammad Shadab Khan",10.1016/j.jclepro.2020.120783,https://doi.org/10.1016/j.jclepro.2020.120783,Journal of Cleaner Production,123,2020,The paper explores the challenges and drivers of sustainability accounting and reporting in the context of Industry 4.0 technologies.
Industry 4.0 as an enabler of sustainability diffusion in supply chain: an analysis of influential strength of drivers in an emerging economy,"S. Luthra, Anil Kumar, E. Zavadskas, S. Mangla, J. Garza‐Reyes",10.1080/00207543.2019.1660828,https://doi.org/10.1080/00207543.2019.1660828,International Journal of Production Research,284,2019,This paper is not directly relevant to the query about social sustainability reporting readiness in software services. It examines the drivers of Industry 4.0 to diffuse sustainability in supply chains in an emerging economy.
Readiness factors for information technology adoption in SMEs: testing an exploratory model in an Indian context,"Jessy Nair, A. Chellasamy, B. N. B. Singh",10.1108/jabs-09-2018-0254,https://doi.org/10.1108/jabs-09-2018-0254,Journal of Asia Business Studies,83,2019,"This paper is not directly relevant to the query about social sustainability reporting readiness in software services, as it focuses on readiness factors for IT adoption in SMEs in an Indian context."
CSR and sustainability reporting practices in India: an in-depth content analysis of top-listed companies,"Priyanka Aggarwal, Ashutosh Kumar Singh",10.1108/SRJ-03-2018-0078,https://doi.org/10.1108/SRJ-03-2018-0078,Social Responsibility Journal,109,2019,"The paper analyzes corporate social responsibility and sustainability reporting practices of Indian companies, finding quality is lower than quantity and practices differ by industry and firm size."
The state of business sustainability reporting in sub-Saharan Africa: an agenda for policy and practice,"C. Tilt, W. Qian, S. Kuruppu, D. Dissanayake",10.1108/SAMPJ-06-2019-0248,https://doi.org/10.1108/SAMPJ-06-2019-0248,-,63,2020,"This paper examines the state of sustainability reporting in sub-Saharan Africa, identifying key motivations, barriers, and policy implications."
Social Sustainability Indicators: A Comprehensive Review with Application in the Energy Sector,"H. Afshari, S. Agnihotri, C. Searcy, M. Jaber",10.1016/j.spc.2022.02.018,https://doi.org/10.1016/j.spc.2022.02.018,Sustainable Production and Consumption,48,2022,"This paper reviews social sustainability indicators across sectors to propose a practical set for the energy sector, highlighting challenges in definitions, measurement, and implementation."
Factors influencing corporate sustainability disclosure practices: empirical evidence from Indian National Stock Exchange,"Kishore Kumar, R. Kumari, Archana Poonia, Rakesh Kumar",10.1108/jfra-01-2021-0023,https://doi.org/10.1108/jfra-01-2021-0023,Journal of Financial Reporting & Accounting,43,2021,The paper examines factors influencing corporate sustainability disclosure practices of publicly listed companies in India.
Emerging phenomenon of corporate sustainability reporting: Evidence from top 100NSElisted companies in India,Kishore Kumar,10.1002/pa.2368,https://doi.org/10.1002/pa.2368,-,37,2020,The paper examines the nature and extent of sustainability reporting practices of top 100 NSE-listed companies in India.
"ENVIRONMENTAL, SOCIAL, AND GOVERNANCE (ESG) PRACTICE AND FIRM PERFORMANCE: AN INTERNATIONAL EVIDENCE",Imlak Shaikh,10.3846/jbem.2022.16202,https://doi.org/10.3846/jbem.2022.16202,Journal of Business and Economic Management,139,2022,The paper examines the effects of non-market transnational sustainability strategy (ESG) on firm performance across different countries and industries.
Corporate social responsibility: Trends in global reporting initiative standards,"G. Halkos, Stylianos Nomikos",10.1016/j.eap.2020.11.008,https://doi.org/10.1016/j.eap.2020.11.008,-,74,2021,"This paper analyzes trends in corporate social responsibility reporting using the Global Reporting Initiative standards, but does not specifically address social sustainability reporting readiness in software services."
The role of audit committee attributes in corporate sustainability reporting,"Amina Buallay, Jasim Al-Ajmi",10.1108/JAAR-06-2018-0085,https://doi.org/10.1108/JAAR-06-2018-0085,Journal of Applied Accounting Research,155,2019,This paper is not directly relevant to the query about social sustainability reporting readiness in software services and its challenges and drivers. The paper examines the impact of audit committee attributes on corporate sustainability reporting by banks in the Gulf Cooperation Council region.
Determinants of CSR disclosure: an evidence from India,"F. P, Nidheesh Kb",10.1108/jibr-06-2018-0171,https://doi.org/10.1108/jibr-06-2018-0171,-,65,2020,"The paper examines firm characteristics that determine corporate social responsibility disclosure in India, including environmental, social, and governance factors."
Editors’ Comments: Is Research on Corporate Social Responsibility Undertheorized?,"Heli Wang, C. Gibson, U. Zander",10.5465/amr.2019.0450,https://doi.org/10.5465/amr.2019.0450,-,116,2020,This paper is not directly relevant to the query about social sustainability reporting readiness in software services and its challenges and drivers.
"Exploring the sustainability performances of firms using environmental, social, and governance scores",R. Rajesh,10.1016/j.jclepro.2019.119600,https://doi.org/10.1016/j.jclepro.2019.119600,Journal of Cleaner Production,192,2020,"The paper analyzes ESG scores to identify the most important indicators contributing to sustainability performance of Indian firms, with implications for improving governance."
