Title,Authors,DOI,DOI link,Venue,Citation count,Year,Abstract summary,score
Social sustainability tensions in multi-tier supply chain: A systematic literature review towards conceptual framework development,"K. Govindan, Mahesh Shaw, A. Majumdar",10.1016/j.jclepro.2020.123075,https://doi.org/10.1016/j.jclepro.2020.123075,Journal of Cleaner Production,272,2021,"This paper reviews the literature on social sustainability in multi-tier supply chains, identifying drivers, issues, barriers, tensions, practices, and performance, but does not specifically address software services.",B
A framework of sustainability drivers and externalities for industry 4.0 technologies using the Best-Worst Method,"Jamal El Baz, S. Tiwari, Temidayo O. Akenroye, A. Cherrafi, Ridha Derrouiche",10.1016/j.jclepro.2022.130909,https://doi.org/10.1016/j.jclepro.2022.130909,Journal of Cleaner Production,65,2022,The paper proposes a framework for assessing the readiness of organizations to adopt sustainability-oriented Industry 4.0 initiatives.,B
Sustainability accounting and reporting in the industry 4.0,"Kamlesh Tiwari, Mohammad Shadab Khan",10.1016/j.jclepro.2020.120783,https://doi.org/10.1016/j.jclepro.2020.120783,Journal of Cleaner Production,123,2020,The paper explores the challenges and drivers of sustainability accounting and reporting in the context of Industry 4.0 technologies.,B
"Exploring the sustainability performances of firms using environmental, social, and governance scores",R. Rajesh,10.1016/j.jclepro.2019.119600,https://doi.org/10.1016/j.jclepro.2019.119600,Journal of Cleaner Production,192,2020,"The paper analyzes ESG scores to identify the most important indicators contributing to sustainability performance of Indian firms, with implications for improving governance.",B
"Micro, small, and medium suppliers' perspectives on supply chain social sustainability: New evidence from India","Neha Uttam, Pankaj Dutta, Ashish Singh",10.1016/j.jclepro.2022.134473,https://doi.org/10.1016/j.jclepro.2022.134473,Journal of Cleaner Production,8,2022,"This paper is not directly relevant to the query about social sustainability reporting readiness in software services. It examines socially sustainable practices and their drivers and barriers among micro, small, and medium suppliers in India's manufacturing sector.",B
Uptake of sustainability reporting adoption by non-governmental organisations: An agenda for policy and practice,I. E. Asogwa,10.1016/j.jclepro.2022.135842,https://doi.org/10.1016/j.jclepro.2022.135842,Journal of Cleaner Production,4,2023,"This paper is not directly relevant to the query about social sustainability reporting readiness in software services, as it focuses on sustainability reporting adoption by non-governmental organizations.",B
Sustainable development goal reporting: Contrasting effects of institutional and organisational factors,"N. Subramaniam, S. Akbar, H. Situ, Sophia Ji, N. Parikh",10.1016/j.jclepro.2023.137339,https://doi.org/10.1016/j.jclepro.2023.137339,Journal of Cleaner Production,61,2023,Sustainable Development Goal reporting by companies is driven by external institutional factors and organizational characteristics.,B
Corporate sustainability reporting,Richard Barker,10.1016/j.jaccpubpol.2024.107280,https://doi.org/10.1016/j.jaccpubpol.2024.107280,Journal of Accounting and Public Policy,94,2025,"This paper provides a general overview of corporate sustainability reporting, but does not specifically address challenges or drivers in the software services industry.",B
Modeling the pressures for sustainability adoption in the Indian automotive context,"Deepak Mathivathanan, V. Agarwal, K. Mathiyazhagan, Tarik Saikouk, Andrea Appolloni",10.1016/j.jclepro.2022.130972,https://doi.org/10.1016/j.jclepro.2022.130972,Journal of Cleaner Production,30,2022,This paper is not directly relevant to the query about social sustainability reporting readiness in software services. It examines the pressures for adoption of sustainable supply chain management practices in the Indian automotive industry.,B
Corporate social responsibility in emerging markets: Opportunities and challenges for sustainability integration,"L. Cezarino, L. Liboni, T. Hunter, L. Pacheco, F. Martins",10.1016/j.jclepro.2022.132224,https://doi.org/10.1016/j.jclepro.2022.132224,Journal of Cleaner Production,52,2022,"Corporate social responsibility practices in emerging markets can drive social inclusion and welfare, supporting achievement of the UN Sustainable Development Goals.",B
Recent Developments in Sustainability Reporting,B. Edge,10.1111/auar.12378,https://doi.org/10.1111/auar.12378,Australian Accounting Review,6,2022,"This paper discusses recent developments in sustainability reporting, but does not specifically address challenges or drivers in the software services industry.",B
Organisational sustainability readiness: A model and assessment tool for manufacturing companies,"Ilaria Barletta, M. Déspeisse, Steven Hoffenson, B. Johansson",10.1016/j.jclepro.2020.125404,https://doi.org/10.1016/j.jclepro.2020.125404,Journal of Cleaner Production,35,2021,This paper proposes a model and assessment tool to help manufacturing companies build capabilities for sustainable operations.,B
Data‐driven insights for circular and sustainable food supply chains: An empirical exploration of big data and predictive analytics in enhancing social sustainability performance,"Surajit Bag, Gautam Srivastava, A. Cherrafi, Ahad Ali, R. Singh",10.1002/bse.3554,https://doi.org/10.1002/bse.3554,Business Strategy and the Environment,17,2023,"Big data and predictive analytics can increase information sharing and stakeholder connectivity, enhancing social sustainability in circular food supply chains.",B
Business sustainability reporting and assurance and sustainable development goals,"Z. Rezaee, Saeid Homayoun, Nick J. Rezaee, Ehsan Poursoleyman",10.1108/maj-10-2022-3722,https://doi.org/10.1108/maj-10-2022-3722,Managerial Auditing Journal,5,2023,Socially responsible firms adopting sustainable development goals are more likely to issue sustainability reports and obtain assurance statements.,B
Modelling the importance of social responsibility standards (ISO 26000:2010) practices adoption in freight transport industry,Aalok Kumar,10.1016/j.jclepro.2022.132861,https://doi.org/10.1016/j.jclepro.2022.132861,Journal of Cleaner Production,8,2022,The paper analyzes the importance of ISO 26000 social responsibility practices for improving sustainability performance in the freight transport industry.,B
Investigating social sustainability practices in global supply networks: A fuzzy-set qualitative comparative analysis,"Mohammad Najjar, Mahmoud M. Yasin, Marta Zorzini Bell, David Bell",10.1016/j.jclepro.2024.141590,https://doi.org/10.1016/j.jclepro.2024.141590,Journal of Cleaner Production,3,2024,The paper investigates the adoption and influence of social sustainability practices on firm and supplier performance in global supply networks.,B
"Corporate social responsibility report readability, credit ratings and cost of borrowing","Kun Yu, Priya S. Garg",10.1108/raf-11-2021-0322,https://doi.org/10.1108/raf-11-2021-0322,Review of Accounting and Finance,12,2022,"More readable CSR reports are associated with higher credit ratings and lower borrowing costs, suggesting their importance in reducing information risk in credit markets.",B
"Managing Trade‐Offs Between Environmental, Social, Governance and Financial Sustainability in State‐Owned Enterprises: Insights from an Emerging Market","A. Adebayo, B. Ackers",10.1111/auar.12415,https://doi.org/10.1111/auar.12415,Australian Accounting Review,5,2024,"This paper is not directly relevant to the query about social sustainability reporting readiness in software services, as it focuses on how state-owned enterprises in South Africa balance environmental, social, governance and financial sustainability.",B
Exploring Multi-level Drivers of Accountants’ Opinions on the Changes Introduced by the Corporate Sustainability Reporting Directive,"Joanna Krasodomska, E. Zarzycka, Paweł Zieniuk",10.1080/17449480.2024.2382205,https://doi.org/10.1080/17449480.2024.2382205,Accounting in Europe,5,2024,"Drivers at transnational, organizational, and individual levels positively influence accountants' support for expanded and mandatory sustainability reporting.",B
