Company,Country,Sector,Industry,Total Pages,Auditor,Published
Air Liquide,France,Resource Transformation,Chemicals,103,103,PwC & KPMG
Akzo Nobel,Netherlands,Resource Transformation,Chemicals,61,61,PwC
AMG Critical Materials,Netherlands,Resource Transformation,Chemicals,58,58,KPMG
Arkema,France,Resource Transformation,Chemicals,114,114,KPMG & Forvis Mazars
BASF,Germany,Resource Transformation,Chemicals,180,180,Deloitte
Borealis,Austria,Resource Transformation,Chemicals,178,178,KPMG
Borregaard,Norway,Resource Transformation,Chemicals,114,114,EY
Brenntag,Germany,Resource Transformation,Chemicals,60,60,Deloitte
Covestro,Germany,Resource Transformation,Chemicals,110,110,KPMG
dsm-firmenich,Switzerland,Resource Transformation,Chemicals,55,55,KPMG
Elkem,Norway,Resource Transformation,Chemicals,54,54,KPMG
Evonik,Germany,Resource Transformation,Chemicals,132,132,KPMG
IMCD,Netherlands,Resource Transformation,Chemicals,96,96,Deloitte
K+S,Germany,Resource Transformation,Chemicals,93,93,PwC
Kemira,Finland,Resource Transformation,Chemicals,76,76,EY
Lanxess,Germany,Resource Transformation,Chemicals,137,137,KPMG
Lenzing,Austria,Resource Transformation,Chemicals,200,200,KPMG
SGL Carbon,Germany,Resource Transformation,Chemicals,75,75,KPMG
SOLVAY SA,Belgium,Resource Transformation,Chemicals,82,82,EY
Syensqo,Belgium,Resource Transformation,Chemicals,128,128,EY
TESSENDERLO GROUP NV,Belgium,Resource Transformation,Chemicals,74,74,KPMG
Umicore,Belgium,Resource Transformation,Chemicals,59,59,EY
WACKER Chemie,Germany,Resource Transformation,Chemicals,107,107,PwC
Yara International,Norway,Resource Transformation,Chemicals,142,142,Deloitte
