Company,Country,Sector,Industry,Total Pages,Auditor,Published
ABN Amro,Netherlands,Financials,Commercial Banks,146,146,EY
Addiko Bank,Austria,Financials,Commercial Banks,138,138,KPMG
Aktia Bank,Finland,Financials,Commercial Banks,66,66,KPMG
Allied Irish Banks (AIB) Group,Ireland,Financials,Commercial Banks,78,78,PwC
Banca Generali,Italy,Financials,Commercial Banks,196,196,KPMG
Banco Comercial Português,Portugal,Financials,Commercial Banks,104,104,KPMG
Banco Sabadell,Spain,Financials,Commercial Banks,269,269,KPMG
Banco Santander,Spain,Financials,Commercial Banks,213,213,PwC
Bank Millenium,Poland,Financials,Commercial Banks,169,169,Deloitte
Bank of America Europe DAC,Ireland,Financials,Commercial Banks,76,76,Forvis Mazars
Bank of Cyprus Holdings,Cyprus,Financials,Commercial Banks,181,181,PwC
Bank of Ireland,Ireland,Financials,Commercial Banks,140,140,KPMG
Bank Polska Kasa Opieki,Poland,Financials,Commercial Banks,173,173,PwC
Barclays Bank,United Kingdom,Financials,Commercial Banks,82,82,KPMG
Barclays Bank Ireland,Ireland,Financials,Commercial Banks,87,87,KPMG
BBVA,Spain,Financials,Commercial Banks,339,339,EY
Belfius Bank (Dexia Banque),Belgium,Financials,Commercial Banks,209,209,KPMG
BNP Paribas,France,Financials,Commercial Banks,195,195,Deloitte & EY
BNP Paribas Fortis,Belgium,Financials,Commercial Banks,160,160,Deloitte
BRD Groupe Societe Generale,Romania,Financials,Commercial Banks,267,267,PWC
Caixa Geral de Depósitos,Portugal,Financials,Commercial Banks,147,147,EY
Caixabank,Spain,Financials,Commercial Banks,387,387,PwC
Commerzbank,Germany,Financials,Commercial Banks,254,254,KPMG
Crédit Agricole,France,Financials,Commercial Banks,164,164,PwC & Forvis Mazars
Crédit Mutuel Arkéa,France,Financials,Commercial Banks,165,165,Deloitte & PwC
Danske Bank,Denmark,Financials,Commercial Banks,83,83,Deloitte
De Volksbank,Netherlands,Financials,Commercial Banks,82,82,EY
DekaBank Deutsche Girozentrale,Germany,Financials,Commercial Banks,301,301,Deloitte
Deutsche Pfandbriefbank,Germany,Financials,Commercial Banks,169,169,Deloitte
DNB Bank,Norway,Financials,Commercial Banks,146,146,EY
DZ BANK,Germany,Financials,Commercial Banks,319,319,PwC
Econocom Group,Belgium,Financials,Commercial Banks,116,116,BDO
Erste Group Bank,Austria,Financials,Commercial Banks,211,211,PwC
FinecoBank Banca Fineco,Italy,Financials,Commercial Banks,189,189,KPMG
Groupe BPCE,France,Financials,Commercial Banks,346,346,PwC & Forvis Mazars
Helaba,Germany,Financials,Commercial Banks,245,245,EY
HSBC Continental Europe,France,Financials,Commercial Banks,108,108,PwC
ING,Netherlands,Financials,Commercial Banks,60,60,KPMG
ING BANK ŚLĄSKI,Poland,Financials,Commercial Banks,149,149,Forvis Mazars
Intesa Sanpaolo,Italy,Financials,Commercial Banks,235,235,EY
KBC GROEP NV,Belgium,Financials,Commercial Banks,107,107,KPMG
"KomerÄnÃ­ banka, a.s.",Czech Republic,Financials,Commercial Banks,149,149,KPMG
Luminor Bank,Estonia,Financials,Commercial Banks,152,152,PwC
MBANK,Poland,Financials,Commercial Banks,202,202,KPMG
"MONETA Money Bank, a.s.",Czech Republic,Financials,Commercial Banks,124,124,Deloitte
NIBC Bank,Netherlands,Financials,Commercial Banks,53,53,EY
Nordea,Finland,Financials,Commercial Banks,110,110,PwC
Novo Banco,Portugal,Financials,Commercial Banks,224,224,EY
NWB Bank,Netherlands,Financials,Commercial Banks,66,66,EY
Nykredit,Denmark,Financials,Commercial Banks,98,98,EY
OP Financial Group,Finland,Financials,Commercial Banks,254,254,PwC
Permanent TSB Group Holdings,Ireland,Financials,Commercial Banks,159,159,KPMG
Poste Italiane,Italy,Financials,Commercial Banks,192,192,Deloitte
ProCredit Holding,Germany,Financials,Commercial Banks,146,146,BDO
Rabobank,Netherlands,Financials,Commercial Banks,77,77,PwC
Raiffeisen Bank International,Austria,Financials,Commercial Banks,343,343,Deloitte
Ringkjøbing Landbobank,Denmark,Financials,Commercial Banks,98,98,PwC
Santander Bank Polska,Poland,Financials,Commercial Banks,127,127,PwC
SBAB Bank,Sweden,Financials,Commercial Banks,96,96,Deloitte
SEB,Sweden,Financials,Commercial Banks,116,116,EY
Société Générale,France,Financials,Commercial Banks,113,113,PwC & KPMG
Spar Nord Bank,Denmark,Financials,Commercial Banks,59,59,Deloitte
SpareBank 1 SR-Bank,Norway,Financials,Commercial Banks,128,128,PwC
Svenska Handelsbanken,Sweden,Financials,Commercial Banks,119,119,Deloitte
Swedbank,Sweden,Financials,Commercial Banks,153,153,PwC
Tatra banka,Slovakia,Financials,Commercial Banks,248,248,Deloitte
Triodos Bank,Netherlands,Financials,Commercial Banks,160,160,PwC
Unicaja Banco,Spain,Financials,Commercial Banks,355,355,KPMG
UniCredit,Italy,Financials,Commercial Banks,185,185,KPMG
Vseobecna Uverova Banka (VUB),Slovakia,Financials,Commercial Banks,183,183,EY
Zagrebacka Banka DD,Croatia,Financials,Commercial Banks,163,163,KPMG
