Company,Country,Sector,Industry,Total Pages,Auditor,Published
Acea,Italy,Infrastructure,Electric Utilities & Power Generators,107,107,PwC
"ÄEZ, a.s.",Czech Republic,Infrastructure,Electric Utilities & Power Generators,152,152,Deloitte
Alliander,Netherlands,Infrastructure,Electric Utilities & Power Generators,89,89,PwC
E.ON,Germany,Infrastructure,Electric Utilities & Power Generators,53,53,KPMG
Edison,Italy,Infrastructure,Electric Utilities & Power Generators,159,159,KPMG
EDP Renováveis,Portugal,Infrastructure,Electric Utilities & Power Generators,208,208,PwC
Elia System Operator,Belgium,Infrastructure,Electric Utilities & Power Generators,145,145,EY & BDO
EnBW Energie Baden-Wuerttemberg,Germany,Infrastructure,Electric Utilities & Power Generators,115,115,BDO
Endesa,Spain,Infrastructure,Electric Utilities & Power Generators,264,264,KPMG
ENEA,Poland,Infrastructure,Electric Utilities & Power Generators,102,102,PwC
Enel,Italy,Infrastructure,Electric Utilities & Power Generators,180,180,KPMG
Energias de Portugal (EDP),Portugal,Infrastructure,Electric Utilities & Power Generators,278,278,PwC
Engie,France,Infrastructure,Electric Utilities & Power Generators,155,155,Deloitte & EY
EPSO-G,Lithuania,Infrastructure,Electric Utilities & Power Generators,87,87,PwC
ERG,Italy,Infrastructure,Electric Utilities & Power Generators,136,136,KPMG
Fingrid,Finland,Infrastructure,Electric Utilities & Power Generators,80,80,KPMG
Fortum,Finland,Infrastructure,Electric Utilities & Power Generators,73,73,Deloitte
Greenvolt-Energias Renovaveis,Portugal,Infrastructure,Electric Utilities & Power Generators,192,192,Deloitte
Hafslund,Norway,Infrastructure,Electric Utilities & Power Generators,127,127,PwC
Iberdrola,Spain,Infrastructure,Electric Utilities & Power Generators,412,412,KPMG
Ignitis,Lithuania,Infrastructure,Electric Utilities & Power Generators,119,119,KPMG
Ørsted,Denmark,Infrastructure,Electric Utilities & Power Generators,100,100,PwC
Philips,Netherlands,Infrastructure,Electric Utilities & Power Generators,84,84,EY
REN - Redes Energeticas Nacionais SGPS,Portugal,Infrastructure,Electric Utilities & Power Generators,177,177,EY
RWE,Germany,Infrastructure,Electric Utilities & Power Generators,112,112,Deloitte
Statkraft,Norway,Infrastructure,Electric Utilities & Power Generators,120,120,PwC
Stedin,Netherlands,Infrastructure,Electric Utilities & Power Generators,60,60,Deloitte
TenneT Holding,Netherlands,Infrastructure,Electric Utilities & Power Generators,59,59,Deloitte
Uniper,Germany,Infrastructure,Electric Utilities & Power Generators,158,158,PwC
Vattenfall,Sweden,Infrastructure,Electric Utilities & Power Generators,78,78,PwC
Verbund,Austria,Infrastructure,Electric Utilities & Power Generators,191,191,EY
