Company,Country,Sector,Industry,Total Pages,Auditor,Published
Abertis Infraestructuras,Spain,Infrastructure,Engineering & Construction Services,214,214,KPMG
Acciona,Spain,Infrastructure,Engineering & Construction Services,438,438,KPMG
Arcadis,Netherlands,Infrastructure,Engineering & Construction Services,109,109,PwC
Autostrade per l'Italia,Italy,Infrastructure,Engineering & Construction Services,117,117,KPMG
BAM,Netherlands,Infrastructure,Engineering & Construction Services,69,69,EY
COMPAGNIE D'ENTREPRISES CFE SA,Belgium,Infrastructure,Engineering & Construction Services,54,54,EY
Ferrovial,Spain,Infrastructure,Engineering & Construction Services,145,145,EY
FLSmidth,Denmark,Infrastructure,Engineering & Construction Services,69,69,EY
Gaztransport Et Technigaz,France,Infrastructure,Engineering & Construction Services,81,81,EY
Hochtief,Germany,Infrastructure,Engineering & Construction Services,234,234,Deloitte
Lamor Corp,Finland,Infrastructure,Engineering & Construction Services,62,62,EY
Mota-Engil SGPS,Portugal,Infrastructure,Engineering & Construction Services,166,166,PwC
MT Højgaard Holding,Denmark,Infrastructure,Engineering & Construction Services,64,64,EY
Multiconsult,Norway,Infrastructure,Engineering & Construction Services,34,34,Deloitte
PORR,Austria,Infrastructure,Engineering & Construction Services,135,135,EY
Sacyr SA,Spain,Infrastructure,Engineering & Construction Services,265,265,PwC
Sitowise,Finland,Infrastructure,Engineering & Construction Services,65,65,KPMG
SPIE,France,Infrastructure,Engineering & Construction Services,83,83,PwC
STRABAG,Austria,Infrastructure,Engineering & Construction Services,113,113,PwC
Technip Energies,Netherlands,Infrastructure,Engineering & Construction Services,126,126,PwC
Veidekke,Norway,Infrastructure,Engineering & Construction Services,124,124,EY
VINCI,France,Infrastructure,Engineering & Construction Services,90,90,PwC
