Company,Country,Sector,Industry,Total Pages,Auditor,Published
Achmea Holding,Netherlands,Financials,Insurance,163,163,EY
Aegon,Netherlands,Financials,Insurance,108,108,EY
Ageas,Belgium,Financials,Insurance,113,113,PwC
Allianz,Germany,Financials,Insurance,132,132,PwC
Alm Brand,Denmark,Financials,Insurance,71,71,EY
ASR Nederland,Netherlands,Financials,Insurance,127,127,KPMG
AXA,France,Financials,Insurance,142,142,EY & KPMG
CNP assurances,France,Financials,Insurance,161,161,KPMG & Forvis Mazars
Coface,France,Financials,Insurance,154,154,Deloitte
Crédit agricole assurances,France,Financials,Insurance,109,109,PwC & Forvis Mazars
Danica Pension,Denmark,Financials,Insurance,69,69,Deloitte
FBD Holdings,Ireland,Financials,Insurance,91,91,PwC
Gjensidige Forsikring,Norway,Financials,Insurance,111,111,Deloitte
Helvetia,Switzerland,Financials,Insurance,184,184,KPMG
If P&C Insurance,Sweden,Financials,Insurance,82,82,Deloitte
Kommunal Landspensjonkasse (KLP),Norway,Financials,Insurance,28,28,EY
Mapfre,Spain,Financials,Insurance,267,267,KPMG
Munich Re,Germany,Financials,Insurance,102,102,EY
NN,Netherlands,Financials,Insurance,122,122,KPMG
PFA,Denmark,Financials,Insurance,98,98,EY
Sampo,Finland,Financials,Insurance,78,78,Deloitte
SCOR,France,Financials,Insurance,106,106,KPMG & Forvis Mazars
Storebrand,Norway,Financials,Insurance,136,136,PwC
Talanx,Germany,Financials,Insurance,104,104,PwC
Tryg,Denmark,Financials,Insurance,78,78,PwC
Vienna Insurance Group,Austria,Financials,Insurance,98,98,KPMG
