Company,Country,Sector,Industry,Total Pages,Auditor,Published
74Software,France,Technology & Communications,Software & IT Services,102,102,ACA Nexia & Forvis Mazars
Amadeus IT,Spain,Technology & Communications,Software & IT Services,209,209,EY
Atea,Norway,Technology & Communications,Software & IT Services,93,93,Deloitte
Atos,France,Technology & Communications,Software & IT Services,150,150,Forvis Mazars
Capgemini,France,Technology & Communications,Software & IT Services,232,232,Forvis Mazars
CD PROJEKT,Poland,Technology & Communications,Software & IT Services,57,57,Grant Thornton
Crayon Group Holding,Norway,Technology & Communications,Software & IT Services,80,80,Deloitte
Dassault Systèmes,France,Technology & Communications,Software & IT Services,164,164,PwC
Digia,Finland,Technology & Communications,Software & IT Services,45,45,EY
F-Secure,Finland,Technology & Communications,Software & IT Services,104,104,PwC
Gofore,Finnland,Technology & Communications,Software & IT Services,78,78,EY
Lectra,France,Technology & Communications,Software & IT Services,83,83,PwC
Modern Times Group (MTG),Sweden,Technology & Communications,Software & IT Services,51,51,PwC
NNIT,Denmark,Technology & Communications,Software & IT Services,74,74,EY
Novabase SGPS,Portugal,Technology & Communications,Software & IT Services,43,43,EY
QT Group,Finland,Technology & Communications,Software & IT Services,45,45,KPMG
SAP,Germany,Technology & Communications,Software & IT Services,113,113,BDO
Siili Solutions,Finland,Technology & Communications,Software & IT Services,22,22,KPMG
Sopra Steria,France,Technology & Communications,Software & IT Services,143,143,ACA Nexia & Saint Front
TeamViewer,Germany,Technology & Communications,Software & IT Services,52,52,PwC
Teleperformance,France,Technology & Communications,Software & IT Services,111,111,PwC
Tietoevry,Finland,Technology & Communications,Software & IT Services,78,78,Deloitte
TKH,Netherlands,Technology & Communications,Software & IT Services,74,74,EY
Unifieldpost Group,Belgium,Technology & Communications,Software & IT Services,96,96,BDO
Virdien,France,Technology & Communications,Software & IT Services,81,81,EY
WithSecure,Finland,Technology & Communications,Software & IT Services,75,75,PwC
Worldline,France,Technology & Communications,Software & IT Services,125,125,Deloitte
